video,group,n_clips,r,best_lag
01-01,01,11,-0.3809051957061522,0
01-02,01,11,-0.02932544371436942,0
01-03,01,14,-0.1739980357987638,0
01-04,01,14,-0.02488182319644155,0
01-05,01,11,0.515450848294406,0
01-06,01,12,0.5363656519039572,0
02-01,02,11,0.5700320318806024,0
02-02,02,11,0.2585927726983866,0
02-03,02,12,0.1058929450555011,0
02-04,02,13,0.03226193215466404,0
02-05,02,11,0.4869280218548043,0
02-06,02,11,-0.2910028872803039,0
03-01,03,11,-0.016455386855169146,0
03-02,03,11,-0.11515445250283643,0
03-03,03,13,0.18072236870556876,0
03-04,03,13,0.08688341399009293,0
03-05,03,11,-0.32043468630504723,0
03-06,03,11,0.28339539504018907,0
04-01,04,11,0.30528715360546343,0
04-02,04,11,0.3489355064247156,0
04-03,04,13,0.2295004835701147,0
04-04,04,13,-0.2753639155569101,0
04-05,04,11,-0.10447578980551966,0
04-06,04,11,-0.3704978523940551,0
05-01,05,11,-0.8904307559940186,0
05-02,05,11,0.21047671113660224,0
05-03,05,13,-0.4249376822209986,0
05-04,05,13,-0.33577855256707184,0
05-05,05,11,0.25665020879035816,0
05-06,05,11,0.2730999687636985,0
06-01,06,11,0.6808309212770499,0
06-03,06,13,0.5253716292523772,0
06-04,06,13,-0.21578234664869816,0
06-05,06,11,0.42331013247259774,0
06-06,06,11,0.24669810735406283,0
07-01,07,11,-0.4337095610472622,0
07-02,07,12,-0.3681774297231173,0
07-03,07,13,0.10620956923549013,0
07-04,07,13,-0.2517922469746235,0
07-05,07,11,-0.2616076411892365,0
07-06,07,11,-0.16943275083556655,0
08-01,08,11,0.3888212547101154,0
08-02,08,11,0.45801540185402717,0
08-03,08,13,-0.4377664027033772,0
08-04,08,13,0.4327337516484203,0
08-05,08,11,0.1164149437068691,0
08-06,08,11,-0.13309035243817177,0
09-01,09,11,0.1932245399000701,0
09-02,09,11,-0.38385195785846116,0
09-03,09,13,0.423489917495788,0
09-04,09,15,0.23586827654689063,0
09-05,09,11,0.10129308655002561,0
09-06,09,11,0.14182715723279388,0
10-01,10,11,0.34665884859507096,0
10-02,10,11,0.2930224383446433,0
10-03,10,13,0.16355066553072392,0
10-04,10,13,-0.2038532338597765,0
10-05,10,11,-0.3935125182122977,0
10-06,10,11,0.39011548032822063,0
